cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.2.4.2_1,Amajyaruguru,Gakenke,Gakenke,Kagoma,332.10909599999997,5532.463567999999,730.938264,1153.58088,2603.082448,2929.38112,1275.0
RWA.1.2.4.3_1,Amajyaruguru,Gakenke,Gakenke,Nganzo,356.10072499999995,5941.603166,786.232246,1235.602376,2794.850852,3146.752334,1221.0
RWA.1.2.4.4_1,Amajyaruguru,Gakenke,Gakenke,Rusagara,441.90053199999994,7326.588118,966.5668860000001,1536.320496,3443.025774,3883.562344,1857.0
RWA.1.2.5.1_1,Amajyaruguru,Gakenke,Gashenyi,Nyacyina,237.970671,3828.415994,487.545082,773.140664,1788.25369,2040.161681,1469.0
RWA.1.2.5.2_1,Amajyaruguru,Gakenke,Gashenyi,Rukura,192.470975,3002.12313,378.29731,603.3323,1405.60823,1596.514455,837.0
RWA.1.2.5.3_1,Amajyaruguru,Gakenke,Gashenyi,Rutabo,227.732477,3633.3467960000003,464.40874,733.372552,1696.503244,1936.842973,941.0
RWA.1.2.5.4_1,Amajyaruguru,Gakenke,Gashenyi,Rutenderi,190.940804,3018.3829530000003,383.149651,607.510838,1412.040827,1606.341636,726.0
RWA.1.2.5.5_1,Amajyaruguru,Gakenke,Gashenyi,Taba,341.107189,5454.893992,696.793808,1099.458624,2550.124064,2904.768981,1309.0
RWA.1.2.6.1_1,Amajyaruguru,Gakenke,Janja,Gakindo,225.66590599999998,3652.3976340000004,469.70169899999996,711.584203,1712.075055,1940.3225790000001,812.0
RWA.1.2.6.2_1,Amajyaruguru,Gakenke,Janja,Gashyamba,175.92486,2854.8192480000002,368.38812599999994,555.489711,1337.870886,1516.948377,608.0
RWA.1.2.6.3_1,Amajyaruguru,Gakenke,Janja,Gatwa,267.240374,4372.970474000001,569.612661,848.0984520000001,2048.117687,2324.85287,854.0
RWA.1.2.6.4_1,Amajyaruguru,Gakenke,Janja,Karukungu,322.18326199999996,5252.1869750000005,681.0842939999999,1024.94965,2461.195147,2790.9918820000003,888.0
RWA.1.2.7.1_1,Amajyaruguru,Gakenke,Kamubuga,Kamubuga,388.760536,7930.483444,1210.49368,1609.456556,3720.932548,4209.552368000001,1543.0
RWA.1.2.7.2_1,Amajyaruguru,Gakenke,Kamubuga,Kidomo,201.674371,4177.1070070000005,642.0245739999999,846.2291690000001,1959.6723100000002,2217.4354940000003,1025.0
RWA.1.2.7.3_1,Amajyaruguru,Gakenke,Kamubuga,Mbatabata,195.121138,4022.8465770000003,617.7675839999999,815.0939070000001,1887.7698440000001,2135.0775040000003,851.0
RWA.1.2.7.4_1,Amajyaruguru,Gakenke,Kamubuga,Rukore,254.721059,5070.810481,765.212952,1027.1689350000001,2375.632254,2695.179062,1158.0
RWA.1.2.8.1_1,Amajyaruguru,Gakenke,Karambo,Kanyanza,230.63435799999993,3528.0384919999997,451.64403999999996,721.531357,1628.5694409999999,1899.4689939999998,892.0
RWA.1.2.8.2_1,Amajyaruguru,Gakenke,Karambo,Karambo,357.05012099999993,5456.565967,697.713571,1114.294279,2518.4920899999997,2938.073751,1428.0
RWA.1.2.8.3_1,Amajyaruguru,Gakenke,Karambo,Kirebe,211.88267499999995,3216.749908,411.40668,658.243377,1481.8305329999998,1734.919375,822.0
RWA.1.2.9.1_1,Amajyaruguru,Gakenke,Kivuruga,Cyintare,165.435211,2868.559487,376.76235599999995,593.3678699999999,1341.450026,1527.109461,536.0
RWA.1.2.9.2_1,Amajyaruguru,Gakenke,Kivuruga,Gasiza,205.864773,3610.821021,476.332659,741.4578779999999,1690.3699439999998,1920.451077,735.0
RWA.1.2.9.3_1,Amajyaruguru,Gakenke,Kivuruga,Rugimbu,142.12443100000002,2486.088087,327.63546299999996,511.529426,1163.474628,1322.613459,909.0
