cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.3.4.3_1,Amajyaruguru,Gicumbi,Cyumba,Nyakabungo
RWA.1.3.4.4_1,Amajyaruguru,Gicumbi,Cyumba,Nyambare
RWA.1.3.4.5_1,Amajyaruguru,Gicumbi,Cyumba,Nyaruka
RWA.1.3.4.6_1,Amajyaruguru,Gicumbi,Cyumba,Rwankonjo
RWA.1.3.5.1_1,Amajyaruguru,Gicumbi,Giti,Gatobotobo
RWA.1.3.5.2_1,Amajyaruguru,Gicumbi,Giti,Murehe
RWA.1.3.5.3_1,Amajyaruguru,Gicumbi,Giti,Tanda
RWA.1.3.6.1_1,Amajyaruguru,Gicumbi,Kageyo,Gihembe
RWA.1.3.6.2_1,Amajyaruguru,Gicumbi,Kageyo,Horezo
RWA.1.3.6.3_1,Amajyaruguru,Gicumbi,Kageyo,Kabuga
RWA.1.3.6.4_1,Amajyaruguru,Gicumbi,Kageyo,Muhondo
RWA.1.3.6.5_1,Amajyaruguru,Gicumbi,Kageyo,Nyamiyaga
RWA.1.3.7.1_1,Amajyaruguru,Gicumbi,Kaniga,Bugomba
RWA.1.3.7.2_1,Amajyaruguru,Gicumbi,Kaniga,Gatoma
RWA.1.3.7.3_1,Amajyaruguru,Gicumbi,Kaniga,Mulindi
RWA.1.3.7.4_1,Amajyaruguru,Gicumbi,Kaniga,Nyarwambu
RWA.1.3.7.5_1,Amajyaruguru,Gicumbi,Kaniga,Rukurura
RWA.1.3.8.1_1,Amajyaruguru,Gicumbi,Manyagiro,Kabuga
RWA.1.3.8.2_1,Amajyaruguru,Gicumbi,Manyagiro,Nyiragifumba
RWA.1.3.8.3_1,Amajyaruguru,Gicumbi,Manyagiro,Nyiravugiza
RWA.1.3.8.4_1,Amajyaruguru,Gicumbi,Manyagiro,Remera
RWA.1.3.8.5_1,Amajyaruguru,Gicumbi,Manyagiro,Rusekera
RWA.1.3.8.6_1,Amajyaruguru,Gicumbi,Manyagiro,Ryaruyumba
RWA.1.3.9.1_1,Amajyaruguru,Gicumbi,Miyove,Gakenke
RWA.1.3.9.2_1,Amajyaruguru,Gicumbi,Miyove,Miyove
RWA.1.3.9.3_1,Amajyaruguru,Gicumbi,Miyove,Mubuga
RWA.1.3.10.1_1,Amajyaruguru,Gicumbi,Mukarange,Cyamuganga
RWA.1.3.10.2_1,Amajyaruguru,Gicumbi,Mukarange,Gatenga
RWA.1.3.10.3_1,Amajyaruguru,Gicumbi,Mukarange,Kiruhura
RWA.1.3.10.4_1,Amajyaruguru,Gicumbi,Mukarange,Mutarama
RWA.1.3.10.5_1,Amajyaruguru,Gicumbi,Mukarange,Rugerero
RWA.1.3.10.6_1,Amajyaruguru,Gicumbi,Mukarange,Rusambya
RWA.1.3.11.1_1,Amajyaruguru,Gicumbi,Muko,Cyamuhinda
RWA.1.3.11.2_1,Amajyaruguru,Gicumbi,Muko,Kigoma
RWA.1.3.11.3_1,Amajyaruguru,Gicumbi,Muko,Mwendo
RWA.1.3.11.4_1,Amajyaruguru,Gicumbi,Muko,Ngange
RWA.1.3.11.5_1,Amajyaruguru,Gicumbi,Muko,Rebero
RWA.1.3.12.1_1,Amajyaruguru,Gicumbi,Mutete,Gaseke
RWA.1.3.12.2_1,Amajyaruguru,Gicumbi,Mutete,Kabeza
RWA.1.3.12.3_1,Amajyaruguru,Gicumbi,Mutete,Musenyi
RWA.1.3.12.4_1,Amajyaruguru,Gicumbi,Mutete,Mutandi
RWA.1.3.12.5_1,Amajyaruguru,Gicumbi,Mutete,Nyarubuye
RWA.1.3.13.1_1,Amajyaruguru,Gicumbi,Nyamiyaga,Gahumuliza
RWA.1.3.13.2_1,Amajyaruguru,Gicumbi,Nyamiyaga,Jamba
RWA.1.3.13.3_1,Amajyaruguru,Gicumbi,Nyamiyaga,Kabeza
RWA.1.3.13.4_1,Amajyaruguru,Gicumbi,Nyamiyaga,Kabuga
RWA.1.3.13.5_1,Amajyaruguru,Gicumbi,Nyamiyaga,Karambo
RWA.1.3.13.6_1,Amajyaruguru,Gicumbi,Nyamiyaga,Kiziba
RWA.1.3.13.7_1,Amajyaruguru,Gicumbi,Nyamiyaga,Mataba
RWA.1.3.14.1_1,Amajyaruguru,Gicumbi,Nyankenke,Butare
RWA.1.3.14.2_1,Amajyaruguru,Gicumbi,Nyankenke,Kigogo
RWA.1.3.14.3_1,Amajyaruguru,Gicumbi,Nyankenke,Kinishya
RWA.1.3.14.4_1,Amajyaruguru,Gicumbi,Nyankenke,Rusasa
RWA.1.3.14.5_1,Amajyaruguru,Gicumbi,Nyankenke,Rutete
RWA.1.3.14.6_1,Amajyaruguru,Gicumbi,Nyankenke,Rwagihura
RWA.1.3.14.7_1,Amajyaruguru,Gicumbi,Nyankenke,Yaramba
RWA.1.3.15.1_1,Amajyaruguru,Gicumbi,Rubaya,Gihanga
RWA.1.3.15.2_1,Amajyaruguru,Gicumbi,Rubaya,Gishambashayo
RWA.1.3.15.3_1,Amajyaruguru,Gicumbi,Rubaya,Gishari
RWA.1.3.15.4_1,Amajyaruguru,Gicumbi,Rubaya,Muguramo
RWA.1.3.15.5_1,Amajyaruguru,Gicumbi,Rubaya,Nyamiyaga
RWA.1.3.16.1_1,Amajyaruguru,Gicumbi,Rukomo,Cyeya
RWA.1.3.16.2_1,Amajyaruguru,Gicumbi,Rukomo,Cyuru
RWA.1.3.16.3_1,Amajyaruguru,Gicumbi,Rukomo,Gisiza
RWA.1.3.16.4_1,Amajyaruguru,Gicumbi,Rukomo,Kinyami
RWA.1.3.16.5_1,Amajyaruguru,Gicumbi,Rukomo,Mabare
RWA.1.3.16.6_1,Amajyaruguru,Gicumbi,Rukomo,Munyinya
